id,url,header,address,amenities,crawler,crawled_at,Quarto,Banheiro,Garagem,condominio,preço,area_limpo,Vista exterior,Cabeamento estruturado,Circuito de segurança,Quadra poliesportiva,Espaço gourmet,Portaria 24h,Porcelanato,Ar-condicionado,Varanda,Acesso para deficientes,Piscina infantil,Gás Encanado,Fogão,Cozinha grande,Sala grande,Quintal,Salão de jogos,Janela grande,Isolamento térmico,Conexão à internet,Sala de jantar,Vigia,Copa,Janela de alumínio,Mobiliado,Spa,Bicicletário,Próximo a transporte público,Vista para lago,Ambientes integrados,Próximo a hospitais,Portão eletrônico,Sala de massagem,Mais de um andar,Armário embutido no quarto,Piso laminado,Espaço teen,Condomínio fechado,Interfone,Área de serviço,Cozinha,Churrasqueira,Perto de vias de acesso,Móvel planejado,Hall de entrada,Espaço verde / Parque,Vista para a montanha,Área de lazer,Escritório,Salão de festas,Quadra de tênis,Churrasqueira na varanda,Jardim,Depósito,Cozinha americana,Vista para o mar,Piscina para adulto,Recepção,Elevador,Próximo a shopping,Piso de madeira,Sauna,Andar inteiro,Armário na cozinha,Pista de cooper,Piscina,Closet,Armário embutido,Aceita animais,Aquecimento,TV a cabo,Box blindex,Varanda gourmet,Próximo a escola,Lavanderia,Segurança 24h,Gerador elétrico,Playground,Despensa,Academia,Estacionamento para visitantes,Lavabo,Gesso - Sanca - Teto Rebaixado,Sistema de alarme
2508978496,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-54m2-aluguel-RS750-id-2508978496/,"Apartamento com Quarto para Aluguel, 54m²","Rua Capitão Resende, 370 - Cachambi, Rio de Janeiro - RJ","Elevador, Playground, Aceita animais, Salão de festas, Portaria 24h",cachambi,2021-04-04 14:28:00,1.0,1.0,0,610.0,750.0,54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2513277508,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-61m2-aluguel-RS800-id-2513277508/,"Apartamento com 2 Quartos para Aluguel, 61m²","Rua São Joaquim - Cachambi, Rio de Janeiro - RJ","Piscina, Varanda, Academia, Elevador, Playground",cachambi,2021-04-04 14:28:00,2.0,2.0,0,750.0,800.0,61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2502789379,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-68m2-aluguel-RS1800-id-2502789379/,"Apartamento com 2 Quartos para Aluguel, 68m²","Cachambi, Rio de Janeiro - RJ","Varanda, Academia, Interfone, Salão de jogos, Sauna",cachambi,2021-04-04 14:29:00,2.0,2.0,0,585.0,1800.0,68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2513224981,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-50m2-aluguel-RS1200-id-2513224981/,"Apartamento com 2 Quartos para Aluguel, 50m²","Rua Álvares Cabral, 425 - Cachambi, Rio de Janeiro - RJ","Churrasqueira, Elevador, Condomínio fechado, Playground, Aceita animais",cachambi,2021-04-04 14:29:00,2.0,1.0,0,550.0,1200.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2510049691,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-90m2-venda-RS530000-id-2510049691/,Apartamento com 3 Quartos à Venda/Aluguel 90m²,"Rua Silva Mourão, 107 - Cachambi, Rio de Janeiro - RJ","Piscina, Churrasqueira, Elevador, Academia, Varanda gourmet",cachambi,2021-04-04 14:29:00,3.0,2.0,0,763.0,2300.0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2512659533,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-71m2-venda-RS490000-id-2512659533/,Apartamento com 2 Quartos à Venda/Aluguel 71m²,"Rua Silva Mourão, 107 - Cachambi, Rio de Janeiro - RJ","Piscina, Churrasqueira, Elevador, Academia, Varanda gourmet",cachambi,2021-04-04 14:29:00,2.0,2.0,0,680.0,2000.0,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2502010704,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-110m2-aluguel-RS1100-id-2502010704/,"Apartamento com 3 Quartos para Aluguel, 110m²","Rua Rocha Pita - Cachambi, Rio de Janeiro - RJ","Varanda, Armário na cozinha, Interfone",cachambi,2021-04-04 14:29:00,3.0,2.0,0,400.0,1100.0,110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2502789378,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-68m2-aluguel-RS2000-id-2502789378/,"Apartamento com 2 Quartos para Aluguel, 68m²","Cachambi, Rio de Janeiro - RJ","Piscina, Varanda, Academia, Quadra poliesportiva, Interfone",cachambi,2021-04-04 14:29:00,2.0,2.0,0,735.0,2000.0,68,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2513586436,https://www.vivareal.com.br/imovel/apartamento-1-quartos-cachambi-zona-norte-rio-de-janeiro-com-garagem-45m2-aluguel-RS1500-id-2513586436/,"Apartamento com Quarto para Aluguel, 45m²","Rua Odorico Mendes, 43 - Cachambi, Rio de Janeiro - RJ","Piscina, Churrasqueira, Elevador, Condomínio fechado, Quadra poliesportiva",cachambi,2021-04-04 14:29:00,1.0,1.0,0,480.0,1500.0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2514187093,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cachambi-zona-norte-rio-de-janeiro-92m2-aluguel-RS1600-id-2514187093/,"Apartamento com 2 Quartos para Aluguel, 92m²","Rua Cristiania - Cachambi, Rio de Janeiro - RJ","Varanda, Ar-condicionado, Elevador, Área de serviço, Salão de festas",cachambi,2021-04-04 14:29:00,2.0,1.0,0,500.0,1600.0,92,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
