iter	RMSE
0	5951.931036
1	5765.933924
2	5581.469241
3	5400.015203
4	5230.453941
5	5096.323298
6	4947.821548
7	4807.442356
8	4673.52355
9	4545.52562
10	4430.027742
11	4317.974999
12	4217.523197
13	4112.600263
14	4021.212222
15	3931.811531
16	3848.025467
17	3771.837783
18	3699.147415
19	3635.330913
20	3569.818448
21	3513.594433
22	3456.035265
23	3406.68781
24	3354.762032
25	3309.047191
26	3266.876259
27	3219.545827
28	3180.224121
29	3140.339296
30	3105.741442
31	3072.87489
32	3042.158237
33	3011.436234
34	2980.858864
35	2954.124251
36	2927.635452
37	2906.23417
38	2883.649394
39	2860.710319
40	2840.005729
41	2819.836665
42	2803.594704
43	2785.968269
44	2769.561304
45	2755.045895
46	2738.407133
47	2723.32779
48	2708.551979
49	2694.872874
50	2682.051641
51	2671.600015
52	2660.384674
53	2650.031873
54	2639.884647
55	2629.953701
56	2620.16535
57	2611.081282
58	2604.009781
59	2595.730723
60	2588.663117
61	2582.225006
62	2575.336257
63	2567.863592
64	2562.335509
65	2555.961738
66	2551.53644
67	2545.174104
68	2539.874779
69	2534.531275
70	2528.108386
71	2523.830826
72	2519.870029
73	2515.43903
74	2511.83154
75	2506.587403
76	2503.777455
77	2499.770134
78	2495.45683
79	2491.705853
80	2488.098193
81	2483.483207
82	2479.464042
83	2475.277473
84	2472.142801
85	2469.304007
86	2465.79418
87	2463.050482
88	2461.11354
89	2458.526415
90	2455.695331
91	2453.614339
92	2451.145235
93	2448.130023
94	2442.319911
95	2438.073911
96	2435.742852
97	2433.230755
98	2429.398655
99	2427.632005
100	2426.058316
101	2423.546242
102	2420.966616
103	2418.721749
104	2416.530138
105	2414.057139
106	2411.803332
107	2410.976203
108	2408.060517
109	2405.510169
110	2404.195372
111	2401.35422
112	2399.388268
113	2396.064754
114	2394.693338
115	2393.078323
116	2390.610973
117	2389.838355
118	2388.899955
119	2387.499479
120	2385.202022
121	2384.06764
122	2382.471451
123	2380.685882
124	2379.394387
125	2378.462223
126	2378.071477
127	2376.571929
128	2374.66261
129	2372.484855
130	2370.934513
131	2368.496211
132	2366.336901
133	2365.337904
134	2362.712263
135	2361.644345
136	2360.822886
137	2358.335671
138	2355.138747
139	2353.286019
140	2352.112736
141	2351.566432
142	2350.823654
143	2350.236273
144	2348.68673
145	2348.186279
146	2345.43008
147	2344.408475
148	2343.839595
149	2341.880341
150	2341.344844
151	2339.950693
152	2338.883401
153	2337.742618
154	2336.302975
155	2335.666067
156	2335.039404
157	2330.570949
158	2328.751474
159	2325.702799
160	2325.01523
161	2321.98427
162	2320.39784
163	2318.787534
164	2317.133844
165	2314.899488
166	2312.305268
167	2310.390264
168	2306.931819
169	2305.404893
170	2303.539221
171	2302.570853
172	2301.268741
173	2300.625959
174	2297.229866
175	2295.7913
176	2293.728495
177	2292.031417
178	2290.539314
179	2288.071527
180	2286.305502
181	2285.169421
182	2284.722491
183	2282.004676
184	2280.299898
185	2278.739516
186	2276.026027
187	2275.061682
188	2273.559314
189	2270.556903
190	2266.214534
191	2264.007912
192	2261.738059
193	2258.823491
194	2256.616003
195	2254.987213
196	2252.691586
197	2251.053061
198	2249.955866
199	2248.889166
200	2245.15262
201	2244.487837
202	2242.605065
203	2239.892335
204	2239.060629
205	2237.028101
206	2234.967779
207	2233.526184
208	2232.064146
209	2231.368953
210	2229.62012
211	2226.740157
212	2224.927552
213	2222.390385
214	2220.594524
215	2218.930478
216	2217.785586
217	2216.918828
218	2214.649225
219	2212.992014
220	2210.035393
221	2208.383914
222	2205.272784
223	2202.565171
224	2201.000402
225	2199.50695
226	2197.539606
227	2196.004999
228	2194.52233
229	2193.322376
230	2191.337386
231	2189.869755
232	2188.517689
233	2186.31421
234	2184.224609
235	2183.18023
236	2182.049336
237	2180.616295
238	2179.060681
239	2177.244627
240	2175.492304
241	2173.826069
242	2172.593991
243	2170.297849
244	2168.982761
245	2167.837306
246	2166.568056
247	2163.040844
248	2162.339956
249	2160.482954
250	2158.735364
251	2157.334299
252	2156.621228
253	2155.408988
254	2154.614507
255	2152.913458
256	2151.998368
257	2150.31459
258	2149.433881
259	2148.489549
260	2147.041427
261	2146.210062
262	2144.212903
263	2143.379712
264	2142.071901
265	2140.905126
266	2138.967833
267	2137.998813
268	2136.568105
269	2135.893311
270	2135.073694
271	2134.36514
272	2132.836234
273	2131.768394
274	2130.75786
275	2130.016678
276	2129.150141
277	2127.841057
278	2126.495096
279	2125.000557
280	2123.789979
281	2122.300814
282	2120.95601
283	2119.988451
284	2119.266892
285	2118.554449
286	2116.881184
287	2115.953058
288	2115.388165
289	2114.399392
290	2112.623463
291	2110.83758
292	2109.744278
293	2108.739606
294	2107.082783
295	2105.458654
296	2104.0888
297	2102.36923
298	2100.802808
299	2099.743641
300	2098.464397
301	2097.464072
302	2096.255796
303	2095.232177
304	2093.898849
305	2093.078098
306	2091.972849
307	2091.447728
308	2090.69494
309	2089.838358
310	2088.774042
311	2087.44295
312	2086.161447
313	2085.178913
314	2083.553117
315	2082.500045
316	2081.313715
317	2079.262221
318	2076.993648
319	2074.533846
320	2073.564875
321	2072.626983
322	2071.017593
323	2070.054301
324	2068.765864
325	2067.685308
326	2064.594243
327	2063.686132
328	2062.480644
329	2061.5005
330	2060.616433
331	2059.736629
332	2058.944955
333	2056.94708
334	2055.963609
335	2055.107997
336	2052.290247
337	2051.434118
338	2050.271533
339	2048.515926
340	2047.652262
341	2045.846653
342	2044.597377
343	2043.772498
344	2043.081401
345	2042.155858
346	2041.369412
347	2040.481196
348	2039.694223
349	2038.88145
350	2037.653052
351	2037.107091
352	2036.053659
353	2035.211308
354	2033.418254
355	2032.102572
356	2031.214708
357	2030.921702
358	2029.130715
359	2026.485239
360	2024.999835
361	2023.122074
362	2022.493885
363	2021.631815
364	2020.190064
365	2019.629345
366	2019.122215
367	2018.481397
368	2017.029094
369	2016.351439
370	2014.422037
371	2013.784408
372	2012.039448
