iter	Passed	Remaining
0	25	25340
1	67	33519
2	130	43253
3	161	40169
4	190	37955
5	214	35472
6	236	33596
7	259	32143
8	281	30987
9	310	30761
10	333	29977
11	355	29259
12	382	29051
13	419	29575
14	461	30335
15	488	30059
16	515	29822
17	546	29840
18	579	29934
19	632	31001
20	663	30936
21	696	30940
22	726	30846
23	753	30646
24	791	30854
25	822	30829
26	846	30507
27	869	30167
28	891	29857
29	914	29554
30	936	29269
31	958	28993
32	987	28924
33	1014	28836
34	1048	28900
35	1076	28829
36	1106	28790
37	1141	28902
38	1202	29641
39	1237	29699
40	1273	29781
41	1309	29863
42	1342	29876
43	1381	30021
44	1423	30211
45	1458	30245
46	1491	30246
47	1524	30229
48	1553	30159
49	1576	29962
50	1601	29802
51	1625	29637
52	1648	29452
53	1670	29273
54	1693	29095
55	1730	29165
56	1774	29359
57	1806	29343
58	1831	29213
59	1855	29075
60	1879	28929
61	1902	28784
62	1925	28634
63	1948	28494
64	1971	28353
65	1993	28216
66	2017	28096
67	2047	28065
68	2073	27971
69	2096	27847
70	2118	27722
71	2141	27604
72	2164	27482
73	2186	27363
74	2209	27250
75	2232	27138
76	2254	27027
77	2276	26912
78	2298	26798
79	2320	26687
80	2343	26587
81	2366	26497
82	2389	26397
83	2412	26304
84	2435	26214
85	2457	26115
86	2483	26057
87	2508	25992
88	2533	25937
89	2558	25870
90	2581	25786
91	2604	25704
92	2627	25623
93	2649	25538
94	2672	25462
95	2695	25381
96	2717	25302
97	2739	25217
98	2762	25141
99	2785	25069
100	2808	24999
101	2831	24926
102	2854	24855
103	2878	24797
104	2901	24731
105	2928	24695
106	2957	24685
107	2993	24727
108	3016	24661
109	3039	24594
110	3063	24537
111	3088	24485
112	3111	24423
113	3133	24355
114	3155	24287
115	3178	24223
116	3202	24165
117	3224	24100
118	3250	24065
119	3273	24008
120	3296	23947
121	3318	23882
122	3340	23817
123	3364	23765
124	3386	23705
125	3409	23646
126	3430	23578
127	3452	23517
128	3474	23460
129	3497	23407
130	3521	23360
131	3544	23306
132	3566	23248
133	3589	23197
134	3612	23145
135	3635	23094
136	3657	23039
137	3679	22982
138	3702	22932
139	3724	22878
140	3747	22830
141	3770	22784
142	3793	22736
143	3815	22683
144	3838	22634
145	3860	22579
146	3882	22531
147	3904	22479
148	3927	22428
149	3949	22382
150	3971	22331
151	3995	22289
152	4017	22238
153	4042	22207
154	4064	22158
155	4086	22111
156	4110	22069
157	4133	22025
158	4158	21994
159	4184	21969
160	4207	21927
161	4231	21886
162	4254	21845
163	4276	21799
164	4298	21755
165	4320	21708
166	4343	21665
167	4366	21622
168	4388	21578
169	4410	21535
170	4433	21494
171	4456	21455
172	4478	21411
173	4506	21393
174	4535	21380
175	4559	21345
176	4582	21307
177	4604	21263
178	4627	21222
179	4649	21183
180	4671	21138
181	4694	21098
182	4716	21054
183	4739	21020
184	4763	20983
185	4785	20942
186	4808	20904
187	4831	20866
188	4853	20827
189	4876	20790
190	4899	20753
191	4922	20715
192	4944	20675
193	4968	20641
194	4991	20605
195	5013	20566
196	5036	20529
197	5058	20491
198	5081	20452
199	5103	20414
200	5126	20377
201	5150	20346
202	5173	20311
203	5196	20275
204	5218	20237
205	5240	20197
206	5262	20160
207	5285	20124
208	5307	20087
209	5329	20049
210	5353	20017
211	5374	19978
212	5397	19941
213	5420	19908
214	5443	19874
215	5465	19838
216	5489	19808
217	5511	19769
218	5533	19735
219	5555	19696
220	5578	19662
221	5601	19629
222	5624	19595
223	5646	19561
224	5670	19530
225	5691	19493
226	5715	19462
227	5738	19428
228	5761	19398
229	5784	19364
230	5805	19327
231	5827	19290
232	5849	19257
233	5872	19222
234	5895	19190
235	5917	19157
236	5939	19121
237	5962	19089
238	5985	19057
239	6007	19023
240	6030	18991
241	6052	18957
242	6074	18923
243	6096	18888
244	6119	18857
245	6141	18824
246	6162	18787
247	6185	18757
248	6208	18724
249	6231	18693
250	6253	18661
251	6275	18626
252	6298	18595
253	6320	18562
254	6343	18533
255	6366	18503
256	6389	18470
257	6411	18439
258	6433	18406
259	6456	18375
260	6479	18345
261	6501	18313
262	6525	18287
263	6548	18255
264	6573	18231
265	6595	18199
266	6617	18166
267	6646	18153
268	6673	18134
269	6699	18114
270	6724	18090
271	6814	18239
272	6849	18240
273	6885	18243
274	6913	18226
275	6940	18205
276	6977	18211
277	7011	18208
278	7039	18191
279	7065	18169
280	7097	18160
281	7133	18162
282	7160	18141
283	7188	18122
284	7212	18093
285	7236	18065
286	7259	18034
287	7284	18009
288	7308	17979
289	7330	17947
290	7354	17919
291	7377	17889
292	7405	17868
293	7430	17844
294	7457	17822
295	7487	17808
296	7556	17887
297	7592	17885
298	7642	17918
299	7672	17902
300	7696	17873
301	7718	17840
302	7743	17811
303	7766	17781
304	7795	17763
305	7818	17732
306	7841	17699
307	7864	17668
308	7885	17633
309	7907	17601
310	7932	17573
311	7964	17561
312	7992	17543
313	8019	17519
314	8048	17502
315	8074	17478
316	8101	17455
317	8126	17429
318	8154	17407
319	8178	17380
320	8201	17349
321	8226	17320
322	8252	17297
323	8278	17272
324	8304	17248
325	8353	17271
326	8385	17257
327	8409	17229
328	8435	17203
329	8462	17182
330	8488	17157
331	8514	17131
332	8539	17103
333	8565	17078
334	8599	17071
335	8625	17045
336	8648	17013
337	8671	16984
338	8697	16958
339	8724	16936
340	8748	16907
341	8771	16875
342	8793	16843
343	8815	16810
344	8839	16782
345	8862	16751
346	8885	16720
347	8911	16695
348	8935	16668
349	8962	16644
350	8987	16617
351	9009	16586
352	9032	16554
353	9056	16526
354	9081	16500
355	9107	16474
356	9133	16450
357	9167	16439
358	9198	16424
359	9232	16414
360	9264	16399
361	9295	16383
362	9319	16353
363	9342	16324
364	9367	16297
365	9394	16272
366	9418	16244
367	9446	16223
368	9477	16206
369	9507	16188
370	9532	16161
371	9554	16130
372	9577	16099
373	9600	16069
374	9628	16047
375	9651	16017
376	9673	15986
377	9695	15953
378	9717	15921
379	9740	15892
380	9769	15871
381	9796	15848
382	9822	15823
383	9846	15796
384	9875	15775
385	9901	15749
386	9928	15726
387	9957	15705
